                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.91334,                 1.2376,                  1.025,                0.20716,                0.26793,                0.17474,                0.12578,                 1.1466,                   1.89,                 1.2498,               0.002377,               0.002377,               0.002377
                     80,                0.88117,                 1.1928,                 1.0036,                0.46382,                0.22669,                0.18905,                0.13526,                 1.1265,                 1.9174,                 1.2437,               0.002278,               0.002278,               0.002278
                     81,                0.89862,                 1.1974,                 1.0167,                0.37796,                0.29799,                0.19893,                0.14396,                 1.1238,                 1.8473,                 1.2348,               0.002179,               0.002179,               0.002179
                     82,                0.88888,                 1.1761,                 1.0094,                0.40737,                0.27452,                0.18879,                0.13406,                 1.1387,                  1.915,                 1.2479,                0.00208,                0.00208,                0.00208
                     83,                0.88452,                 1.1817,                 1.0091,                0.39449,                0.25204,                0.19335,                0.14105,                 1.1377,                 1.8944,                 1.2483,               0.001981,               0.001981,               0.001981
                     84,                 0.8818,                 1.1605,                 1.0065,                0.41216,                0.22379,                 0.1885,                0.13361,                 1.1538,                 1.8879,                 1.2665,               0.001882,               0.001882,               0.001882
                     85,                0.87322,                 1.1511,                 1.0049,                0.49389,                0.18906,                0.18953,                0.13742,                 1.1358,                 1.8681,                 1.2609,               0.001783,               0.001783,               0.001783
                     86,                0.86678,                 1.1372,                 1.0035,                0.48947,                0.18762,                0.18221,                0.13197,                 1.1557,                 1.9109,                 1.2656,               0.001684,               0.001684,               0.001684
                     87,                0.87197,                 1.1129,                 1.0065,                0.24813,                0.26254,                0.19114,                0.13966,                 1.1263,                 1.8865,                 1.2516,               0.001585,               0.001585,               0.001585
                     88,                0.84918,                 1.1207,                0.99336,                0.29814,                 0.2648,                0.19305,                0.14099,                 1.1115,                 1.8517,                 1.2277,               0.001486,               0.001486,               0.001486
                     89,                0.85268,                 1.0903,                0.99329,                0.38697,                0.28442,                0.19068,                0.14043,                 1.1244,                 1.9148,                 1.2437,               0.001387,               0.001387,               0.001387
                     90,                0.85972,                 1.1012,                0.99288,                0.43813,                0.27875,                0.19734,                0.14032,                 1.1199,                 1.8374,                 1.2406,               0.001288,               0.001288,               0.001288
                     91,                 0.8516,                 1.0864,                0.99052,                0.22839,                0.28426,                0.19424,                0.14268,                 1.0939,                 1.8237,                 1.2137,               0.001189,               0.001189,               0.001189
                     92,                0.86145,                 1.0945,                0.99644,                0.22105,                0.29137,                0.19924,                 0.1467,                 1.0983,                 1.8276,                 1.2277,                0.00109,                0.00109,                0.00109
                     93,                0.84498,                 1.0839,                0.98754,                0.22918,                0.31216,                0.19357,                 0.1403,                 1.1226,                  1.861,                 1.2489,               0.000991,               0.000991,               0.000991
                     94,                0.84251,                 1.0508,                0.98475,                0.22996,                0.26768,                0.19575,                0.14464,                 1.1154,                 1.8621,                 1.2343,               0.000892,               0.000892,               0.000892
                     95,                0.84442,                 1.0717,                0.99129,                0.42991,                0.24666,                0.19653,                0.14353,                 1.1352,                 1.8776,                 1.2543,               0.000793,               0.000793,               0.000793
                     96,                0.83647,                 1.0496,                0.98456,                0.42293,                0.24829,                0.19696,                0.14325,                 1.1397,                 1.8262,                 1.2444,               0.000694,               0.000694,               0.000694
                     97,                0.83183,                 1.0376,                0.98235,                0.22472,                0.27959,                0.20162,                  0.146,                 1.1353,                 1.8346,                 1.2545,               0.000595,               0.000595,               0.000595
                     98,                0.82764,                 1.0225,                0.97688,                0.23854,                0.28401,                0.20527,                0.14851,                 1.1143,                 1.8391,                 1.2445,               0.000496,               0.000496,               0.000496
                     99,                0.81992,                 1.0139,                0.98139,                0.24705,                0.26266,                0.19914,                0.14317,                 1.1287,                 1.8732,                 1.2606,               0.000397,               0.000397,               0.000397
                    100,                0.82347,                0.99829,                0.97806,                0.22845,                0.30829,                0.20084,                0.14493,                 1.1281,                 1.8512,                 1.2598,               0.000298,               0.000298,               0.000298
