                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0311,                 1.5891,                  1.024,                0.27402,                0.26873,                0.20596,                0.14756,                 1.0402,                 1.9845,                 1.0713,             0.00033007,             0.00033007,             0.00033007
                     69,                 1.0396,                 1.5543,                 1.0134,                0.30857,                0.27018,                0.21223,                0.15104,                 1.0264,                 1.9853,                 1.0644,             0.00032007,             0.00032007,             0.00032007
                     70,                0.99325,                 1.4998,                  1.012,                0.30374,                0.27449,                0.20594,                0.15213,                 1.0233,                  1.963,                 1.0692,             0.00031007,             0.00031007,             0.00031007
                     71,                 1.0149,                 1.5512,                 1.0218,                0.32685,                0.27432,                0.21173,                0.15496,                 1.0326,                 1.9893,                 1.0717,             0.00030007,             0.00030007,             0.00030007
                     72,                 1.0063,                 1.5198,                 1.0193,                0.30856,                0.25708,                0.21161,                0.15239,                 1.0311,                 1.9567,                 1.0637,             0.00029007,             0.00029007,             0.00029007
                     73,                0.99247,                 1.5232,                 1.0119,                0.33303,                0.24815,                 0.2084,                0.15281,                 1.0341,                 2.0061,                 1.0644,             0.00028007,             0.00028007,             0.00028007
                     74,                  1.004,                 1.4878,                 1.0063,                0.31413,                0.23463,                 0.1907,                0.13952,                 1.0406,                 2.0358,                 1.0731,             0.00027007,             0.00027007,             0.00027007
                     75,                 1.0207,                 1.5437,                 1.0156,                0.35029,                0.24979,                0.19754,                 0.1435,                 1.0496,                 2.0661,                 1.0706,             0.00026007,             0.00026007,             0.00026007
                     76,                 1.0074,                 1.5039,                 1.0146,                0.29202,                0.27991,                0.20476,                 0.1487,                 1.0474,                 1.9889,                 1.0753,             0.00025007,             0.00025007,             0.00025007
                     77,                0.98316,                 1.4969,                 1.0052,                0.33543,                0.26647,                0.19642,                0.14151,                 1.0399,                 2.0003,                  1.076,             0.00024008,             0.00024008,             0.00024008
                     78,                 1.0194,                 1.5123,                 1.0185,                0.29266,                0.28197,                0.19903,                0.14363,                 1.0533,                 2.0096,                 1.0837,             0.00023008,             0.00023008,             0.00023008
                     79,                 1.0078,                 1.4842,                 1.0072,                0.29328,                0.28899,                0.20029,                0.14062,                 1.0586,                 1.9931,                 1.0872,             0.00022008,             0.00022008,             0.00022008
                     80,                 1.0173,                 1.5346,                 1.0157,                0.27546,                  0.295,                0.20078,                0.14317,                 1.0621,                 2.0033,                 1.0882,             0.00021008,             0.00021008,             0.00021008
                     81,                 1.0186,                 1.5078,                 1.0159,                0.30893,                0.27302,                0.20587,                0.14788,                 1.0397,                 2.0006,                 1.0749,             0.00020008,             0.00020008,             0.00020008
                     82,                0.99861,                 1.4569,                 1.0077,                0.28833,                0.27073,                0.20625,                0.15145,                 1.0458,                 1.9901,                 1.0814,             0.00019008,             0.00019008,             0.00019008
                     83,                 1.0205,                 1.4865,                   1.02,                 0.3113,                0.27457,                0.21522,                0.15561,                 1.0586,                 1.9852,                 1.0889,             0.00018008,             0.00018008,             0.00018008
                     84,                 1.0031,                 1.4641,                 1.0034,                  0.307,                   0.27,                0.21098,                 0.1513,                 1.0527,                 1.9903,                 1.0833,             0.00017008,             0.00017008,             0.00017008
                     85,                 1.0113,                 1.4881,                 1.0139,                0.35042,                0.24527,                 0.1954,                0.14059,                 1.0514,                 2.0371,                 1.0799,             0.00016008,             0.00016008,             0.00016008
                     86,                 1.0017,                 1.4877,                 1.0076,                0.29934,                0.28163,                0.21207,                0.14862,                 1.0492,                  2.009,                 1.0813,             0.00015009,             0.00015009,             0.00015009
                     87,                 1.0113,                 1.4734,                 1.0181,                0.30398,                0.28439,                 0.2017,                0.14639,                   1.05,                 2.0229,                 1.0787,             0.00014009,             0.00014009,             0.00014009
                     88,                0.97574,                   1.48,                 1.0031,                0.31117,                0.29537,                0.20366,                0.14658,                 1.0538,                 1.9764,                 1.0801,             0.00013009,             0.00013009,             0.00013009
                     89,                 1.0026,                 1.4524,                 1.0147,                0.29147,                 0.3094,                0.20131,                0.14407,                 1.0551,                 2.0126,                 1.0855,             0.00012009,             0.00012009,             0.00012009
                     90,                0.99015,                 1.4462,                 1.0151,                0.30216,                  0.279,                0.20181,                0.14695,                 1.0494,                 1.9933,                 1.0823,             0.00011009,             0.00011009,             0.00011009
                     91,                0.99643,                 1.4518,                 1.0116,                0.33188,                0.27526,                0.20425,                0.14942,                 1.0515,                 2.0347,                 1.0842,             0.00010009,             0.00010009,             0.00010009
                     92,                0.98781,                 1.4535,                 1.0111,                0.30739,                0.28601,                0.20747,                 0.1511,                 1.0516,                 1.9983,                 1.0823,             9.0091e-05,             9.0091e-05,             9.0091e-05
                     93,                 1.0002,                 1.4524,                 1.0095,                0.30075,                0.28484,                0.19623,                 0.1436,                 1.0581,                 2.0255,                 1.0819,             8.0092e-05,             8.0092e-05,             8.0092e-05
                     94,                0.94983,                 1.4034,                 0.9989,                 0.3055,                0.28263,                0.19268,                0.13797,                 1.0646,                 2.0281,                 1.0857,             7.0093e-05,             7.0093e-05,             7.0093e-05
                     95,                 0.9806,                 1.4315,                 1.0076,                0.29741,                0.27487,                 0.1995,                0.14639,                 1.0648,                  2.009,                 1.0842,             6.0094e-05,             6.0094e-05,             6.0094e-05
                     96,                0.96121,                  1.399,                 1.0004,                0.29772,                0.29604,                0.19682,                0.14316,                 1.0575,                 2.0519,                  1.083,             5.0095e-05,             5.0095e-05,             5.0095e-05
                     97,                0.99721,                 1.4417,                  1.005,                0.30753,                0.29042,                0.20422,                0.14377,                 1.0527,                 2.0129,                 1.0815,             4.0096e-05,             4.0096e-05,             4.0096e-05
                     98,                0.97931,                 1.4436,                0.99964,                0.31132,                0.29099,                0.20652,                0.15019,                 1.0556,                 2.0094,                 1.0831,             3.0097e-05,             3.0097e-05,             3.0097e-05
                     99,                0.98547,                 1.4453,                 1.0116,                0.31671,                0.29244,                0.20861,                0.14856,                 1.0458,                 1.9984,                 1.0782,             2.0098e-05,             2.0098e-05,             2.0098e-05
