                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.0837,                 1.6771,                 1.1483,                 0.3466,                0.25901,                0.18277,                0.13403,                 1.1361,                 1.8819,                 1.2437,                0.00208,                0.00208,                0.00208
                     83,                 1.0611,                 1.6254,                 1.1268,                0.20189,                0.41862,                0.18661,                0.13591,                 1.1449,                 1.9159,                 1.2337,               0.001981,               0.001981,               0.001981
                     84,                 1.0536,                 1.6194,                 1.1235,                0.36344,                0.28714,                0.19174,                0.14156,                 1.1375,                 1.8497,                 1.2403,               0.001882,               0.001882,               0.001882
                     85,                 1.0686,                 1.6104,                 1.1332,                0.35646,                0.24476,                0.19016,                0.13979,                 1.1728,                 1.8408,                 1.2665,               0.001783,               0.001783,               0.001783
                     86,                 1.0602,                 1.5954,                 1.1367,                0.50552,                0.24005,                0.19549,                0.14558,                 1.1051,                 1.8445,                 1.2305,               0.001684,               0.001684,               0.001684
                     87,                 1.0369,                 1.5842,                 1.1151,                 0.1925,                0.27284,                 0.1876,                 0.1417,                  1.139,                 1.8308,                 1.2504,               0.001585,               0.001585,               0.001585
                     88,                 1.0744,                 1.6102,                 1.1473,                0.19713,                0.30251,                0.21538,                0.15415,                 1.1358,                 1.8324,                  1.237,               0.001486,               0.001486,               0.001486
                     89,                 1.0507,                 1.5691,                 1.1267,                0.19272,                0.38878,                0.21383,                0.15725,                 1.1374,                 1.8421,                 1.2326,               0.001387,               0.001387,               0.001387
                     90,                 1.0382,                 1.5596,                   1.11,                0.19442,                0.50766,                0.21127,                0.16154,                 1.1168,                 1.8239,                 1.2369,               0.001288,               0.001288,               0.001288
                     91,                0.99733,                 1.5822,                 1.0833,                0.37992,                0.24401,                0.20256,                0.15056,                  1.127,                 1.8237,                 1.2625,               0.001189,               0.001189,               0.001189
                     92,                0.98002,                 1.5241,                  1.078,                0.21719,                0.24541,                 0.2129,                0.16162,                 1.1256,                  1.786,                 1.2371,                0.00109,                0.00109,                0.00109
                     93,                0.97328,                 1.5279,                 1.0735,                0.39184,                0.22589,                0.19214,                0.14205,                 1.1315,                 1.7971,                 1.2432,               0.000991,               0.000991,               0.000991
                     94,                0.95286,                 1.4849,                 1.0531,                0.18135,                0.24969,                0.18938,                0.14118,                 1.1501,                 1.8361,                 1.2543,               0.000892,               0.000892,               0.000892
                     95,                0.95831,                 1.4698,                 1.0634,                0.34228,                0.25518,                0.17897,                0.13076,                 1.1193,                 1.8345,                 1.2256,               0.000793,               0.000793,               0.000793
                     96,                0.93998,                 1.4551,                 1.0635,                0.38411,                0.24583,                 0.1852,                0.13649,                 1.1177,                 1.8337,                 1.2372,               0.000694,               0.000694,               0.000694
                     97,                0.93442,                 1.4288,                  1.049,                0.37557,                0.21835,                0.18805,                0.13835,                 1.1156,                 1.8206,                 1.2288,               0.000595,               0.000595,               0.000595
                     98,                 0.9329,                  1.409,                  1.049,                0.39079,                0.24532,                0.20106,                0.14838,                  1.103,                 1.7797,                 1.2269,               0.000496,               0.000496,               0.000496
                     99,                0.92288,                 1.4249,                 1.0511,                0.38469,                0.24041,                0.20803,                0.15734,                 1.1017,                 1.7843,                 1.2384,               0.000397,               0.000397,               0.000397
                    100,                  0.925,                 1.4062,                 1.0425,                0.35311,                0.28941,                0.19675,                0.14532,                 1.1065,                 1.7788,                 1.2334,               0.000298,               0.000298,               0.000298
