                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.9127,                 1.0439,                0.99079,                0.36495,                0.28029,                 0.2509,                  0.172,                 1.1124,                 1.9028,                 1.1363,               0.003565,               0.003565,               0.003565
                     67,                0.93604,                 1.0574,                 0.9934,                0.44275,                0.23511,                0.24299,                 0.1737,                 1.1105,                 1.9736,                 1.1332,               0.003466,               0.003466,               0.003466
                     68,                 0.9289,                 1.0581,                0.99777,                0.36161,                0.25627,                0.22672,                0.15937,                 1.1087,                 2.0278,                 1.1434,               0.003367,               0.003367,               0.003367
                     69,                0.92335,                 1.0292,                 0.9882,                0.39832,                0.26991,                0.26032,                0.18814,                  1.092,                 1.9323,                 1.1239,               0.003268,               0.003268,               0.003268
                     70,                0.92285,                 1.0269,                0.99217,                0.38343,                0.26757,                0.22808,                0.16291,                 1.1052,                 1.9534,                 1.1252,               0.003169,               0.003169,               0.003169
                     71,                 0.9063,                 0.9906,                0.98658,                0.34494,                0.26149,                0.22527,                0.15721,                 1.1181,                 1.9731,                 1.1347,                0.00307,                0.00307,                0.00307
                     72,                0.90464,                 1.0061,                0.98679,                0.32095,                0.27488,                0.22603,                0.15519,                 1.0965,                 1.9898,                 1.1316,               0.002971,               0.002971,               0.002971
                     73,                0.91123,                0.97608,                0.98668,                0.46096,                0.24252,                0.22713,                0.15868,                 1.1183,                 1.9739,                 1.1526,               0.002872,               0.002872,               0.002872
                     74,                0.87568,                0.95633,                0.97241,                0.42156,                0.27384,                0.25707,                0.17574,                 1.1405,                 1.9503,                 1.1431,               0.002773,               0.002773,               0.002773
                     75,                0.90963,                0.96851,                0.98365,                0.32991,                0.27391,                0.24775,                0.17547,                 1.1152,                 1.9839,                 1.1343,               0.002674,               0.002674,               0.002674
                     76,                0.88951,                 0.9348,                0.97714,                0.35617,                0.26515,                 0.2314,                0.16334,                 1.1076,                 2.0003,                 1.1467,               0.002575,               0.002575,               0.002575
                     77,                0.87438,                0.92541,                 0.9692,                0.49156,                0.25039,                0.25995,                0.18251,                 1.0945,                 1.9669,                 1.1308,               0.002476,               0.002476,               0.002476
                     78,                0.90296,                0.94652,                0.97807,                0.38749,                0.26644,                0.23662,                0.16666,                 1.1024,                 2.0234,                 1.1491,               0.002377,               0.002377,               0.002377
                     79,                0.89044,                0.92589,                0.97965,                0.44354,                0.25579,                0.25138,                0.17799,                  1.129,                 1.9926,                   1.14,               0.002278,               0.002278,               0.002278
                     80,                0.87014,                0.91271,                0.97457,                0.31382,                0.31226,                 0.2544,                0.18032,                 1.1097,                 1.9503,                  1.139,               0.002179,               0.002179,               0.002179
                     81,                 0.8838,                0.91816,                0.97863,                 0.4806,                0.21894,                0.22629,                0.15657,                  1.099,                 1.9674,                 1.1318,                0.00208,                0.00208,                0.00208
                     82,                0.85096,                0.88659,                0.96158,                0.37516,                0.24958,                0.23383,                0.16389,                  1.093,                 2.0257,                 1.1261,               0.001981,               0.001981,               0.001981
                     83,                0.85602,                0.87788,                0.96367,                 0.4323,                 0.2467,                0.24191,                0.17015,                 1.0988,                 2.0448,                 1.1254,               0.001882,               0.001882,               0.001882
                     84,                0.85767,                0.86191,                0.96728,                0.44048,                0.23814,                0.23936,                0.16698,                 1.0965,                 2.0162,                  1.127,               0.001783,               0.001783,               0.001783
                     85,                0.83685,                 0.8567,                0.96133,                0.50242,                0.23937,                0.24203,                0.17358,                 1.0895,                 2.0153,                 1.1307,               0.001684,               0.001684,               0.001684
                     86,                0.85267,                0.86896,                0.96221,                0.43046,                0.26118,                0.24541,                0.16752,                 1.0989,                 1.9971,                 1.1467,               0.001585,               0.001585,               0.001585
                     87,                0.87345,                0.89159,                0.97895,                0.43786,                0.25913,                0.23568,                 0.1671,                 1.0829,                 1.9742,                 1.1193,               0.001486,               0.001486,               0.001486
                     88,                0.84621,                 0.8331,                0.96305,                 0.3838,                0.25903,                0.23161,                0.16324,                 1.0918,                 2.0049,                 1.1189,               0.001387,               0.001387,               0.001387
                     89,                0.83729,                0.81897,                0.94599,                0.40524,                0.27108,                0.23843,                0.17019,                 1.0789,                 2.0528,                 1.1168,               0.001288,               0.001288,               0.001288
                     90,                0.83572,                0.83596,                0.95808,                0.45741,                0.26158,                0.24994,                0.18198,                 1.0534,                 1.9488,                 1.1037,               0.001189,               0.001189,               0.001189
                     91,                 0.8422,                0.83172,                0.95515,                0.47166,                0.24475,                0.24741,                0.17466,                 1.0633,                 2.0143,                 1.1157,                0.00109,                0.00109,                0.00109
                     92,                0.84971,                0.83445,                0.95406,                0.45088,                0.24479,                0.24763,                0.17071,                 1.0929,                 1.9854,                 1.1378,               0.000991,               0.000991,               0.000991
                     93,                0.83046,                0.80926,                0.95409,                 0.3847,                0.28707,                0.25123,                0.17694,                 1.0925,                 1.9865,                 1.1403,               0.000892,               0.000892,               0.000892
                     94,                0.82213,                0.81002,                0.94736,                0.34915,                0.28691,                0.25057,                0.17513,                 1.0996,                  1.966,                 1.1352,               0.000793,               0.000793,               0.000793
                     95,                0.83047,                0.80351,                0.95589,                0.38827,                0.27416,                0.24496,                0.17078,                  1.079,                 2.0215,                 1.1228,               0.000694,               0.000694,               0.000694
                     96,                 0.8155,                0.80555,                0.95011,                0.33884,                0.29906,                0.24797,                0.17286,                  1.088,                 2.0163,                 1.1325,               0.000595,               0.000595,               0.000595
                     97,                0.82129,                0.79515,                0.95019,                0.35435,                  0.279,                0.25398,                0.17978,                 1.0653,                 1.9923,                 1.1155,               0.000496,               0.000496,               0.000496
                     98,                0.83166,                0.80884,                0.95627,                0.46921,                0.26233,                0.25391,                0.18021,                  1.074,                 2.0055,                 1.1182,               0.000397,               0.000397,               0.000397
                     99,                0.79784,                 0.7708,                0.94927,                0.34274,                0.27971,                0.24825,                0.17546,                 1.0744,                 2.0276,                 1.1201,               0.000298,               0.000298,               0.000298
